CustomerID,Gender,SeniorCitizen,Tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00001,Male,0,52,Two year,Yes,Electronic check,53.35,2774.2,No
CUST_00002,Female,0,4,Month-to-month,Yes,Electronic check,85.41,341.64,No
CUST_00003,Male,0,34,Month-to-month,No,Bank transfer (automatic),52.81,1795.54,No
CUST_00004,Male,1,69,Month-to-month,Yes,Credit card (automatic),74.13,5114.97,No
CUST_00005,Male,0,33,Month-to-month,No,Electronic check,65.46,2304.2200000000003,No
CUST_00006,Female,0,69,Month-to-month,Yes,Mailed check,51.84,3576.96,No
CUST_00007,Male,1,38,Month-to-month,Yes,Credit card (automatic),57.54,2186.52,No
CUST_00008,Male,0,26,Two year,Yes,Electronic check,36.95,960.7,Yes
CUST_00009,Male,0,1,Two year,Yes,Bank transfer (automatic),39.14,39.14,No
CUST_00010,Female,1,4,Two year,Yes,Mailed check,70.17,280.68,No
CUST_00011,Male,0,39,Month-to-month,No,Electronic check,76.37,2978.43,Yes
CUST_00012,Male,1,54,Month-to-month,No,Mailed check,58.83,3176.82,Yes
CUST_00013,Male,0,33,One year,Yes,Credit card (automatic),45.01,1485.33,Yes
CUST_00014,Male,0,33,One year,Yes,Electronic check,54.9,1811.7,No
CUST_00015,Female,0,72,Two year,No,Bank transfer (automatic),69.9,5032.8,No
CUST_00016,Male,1,20,Month-to-month,Yes,Mailed check,71.87,1437.4,No
CUST_00017,Female,0,16,Month-to-month,No,Electronic check,59.59,953.44,No
CUST_00018,Female,0,21,One year,No,Credit card (automatic),60.21,1264.41,Yes
CUST_00019,Female,0,45,Two year,No,Credit card (automatic),57.77,2599.65,No
CUST_00020,Male,0,62,Two year,Yes,Electronic check,31.48,1951.76,No
CUST_00021,Female,0,31,One year,Yes,Credit card (automatic),71.38,2212.78,No
CUST_00022,Male,0,42,Two year,Yes,Mailed check,49.76,2089.92,No
CUST_00023,Female,0,12,One year,No,Mailed check,40.49,485.88,No
CUST_00024,Female,0,65,Two year,No,Mailed check,63.69,4139.85,No
CUST_00025,Female,0,3,Two year,No,Mailed check,65.62,196.86,No
CUST_00026,Female,0,9,Two year,No,Credit card (automatic),61.44,552.96,Yes
CUST_00027,Female,0,51,Month-to-month,No,Electronic check,70.52,3596.52,Yes
CUST_00028,Female,1,16,Month-to-month,No,Credit card (automatic),81.78,1308.48,Yes
CUST_00029,Female,0,3,One year,No,Credit card (automatic),59.36,178.08,No
CUST_00030,Female,1,24,Month-to-month,No,Electronic check,92.04,2208.96,No
CUST_00031,Male,0,13,Two year,Yes,Electronic check,59.18,769.34,No
CUST_00032,Male,0,2,Month-to-month,Yes,Bank transfer (automatic),54.91,109.82,No
CUST_00033,Female,0,71,Month-to-month,No,Mailed check,88.59,6289.89,No
CUST_00034,Female,0,21,Two year,Yes,Electronic check,64.36,1351.56,Yes
CUST_00035,Female,0,19,Month-to-month,Yes,Credit card (automatic),72.24,1372.56,No
CUST_00036,Male,0,47,Month-to-month,No,Mailed check,102.55,4819.85,No
CUST_00037,Female,0,22,Month-to-month,No,Mailed check,100.58,2212.76,Yes
CUST_00038,Male,0,33,One year,No,Credit card (automatic),48.76,1609.08,No
CUST_00039,Male,0,32,Month-to-month,Yes,Electronic check,104.26,3336.32,Yes
CUST_00040,Male,0,64,Two year,No,Mailed check,52.04,3330.56,No
CUST_00041,Male,0,39,Month-to-month,Yes,Mailed check,93.42,3643.38,No
CUST_00042,Male,0,72,Two year,No,Mailed check,70.7,5090.4,No
CUST_00043,Female,0,42,Month-to-month,Yes,Mailed check,80.31,3373.02,Yes
CUST_00044,Female,0,9,Month-to-month,No,Mailed check,73.95,665.55,Yes
CUST_00045,Female,0,25,Month-to-month,No,Credit card (automatic),104.93,2623.25,Yes
CUST_00046,Female,0,2,Month-to-month,Yes,Electronic check,63.85,127.7,Yes
CUST_00047,Female,0,19,One year,No,Electronic check,52.85,1004.15,No
CUST_00048,Male,0,20,Month-to-month,No,Mailed check,71.7,1434.0,Yes
CUST_00049,Female,0,70,Month-to-month,Yes,Mailed check,101.57,2304.2200000000003,Yes
CUST_00050,Female,0,17,One year,Yes,Mailed check,86.94,1477.98,No
CUST_00051,Male,0,68,Month-to-month,Yes,Credit card (automatic),63.2,4297.6,No
CUST_00052,Female,0,3,Month-to-month,Yes,Credit card (automatic),101.83,305.49,Yes
CUST_00053,Male,0,51,Two year,No,Bank transfer (automatic),42.91,2188.41,No
CUST_00054,Female,1,26,Two year,No,Mailed check,78.53,2041.78,No
CUST_00055,Male,0,56,Month-to-month,Yes,Bank transfer (automatic),85.84,4807.04,Yes
CUST_00056,Female,1,64,Month-to-month,Yes,Bank transfer (automatic),50.43,3227.52,No
CUST_00057,Female,0,8,Two year,Yes,Bank transfer (automatic),31.71,253.68,No
CUST_00058,Male,0,37,Month-to-month,Yes,Electronic check,58.85,2177.45,No
CUST_00059,Male,0,27,Two year,Yes,Bank transfer (automatic),39.38,1063.26,No
CUST_00060,Male,0,45,Month-to-month,Yes,Mailed check,96.06,4322.7,Yes
CUST_00061,Male,0,4,Two year,Yes,Credit card (automatic),41.14,164.56,No
CUST_00062,Male,0,37,Month-to-month,No,Mailed check,108.15,4001.55,No
CUST_00063,Male,0,71,Two year,No,Credit card (automatic),61.81,4388.51,No
CUST_00064,Male,0,33,Month-to-month,Yes,Electronic check,91.55,3021.15,No
CUST_00065,Male,0,31,One year,No,Electronic check,50.89,1577.59,No
CUST_00066,Female,0,55,Month-to-month,No,Mailed check,103.56,5695.8,No
CUST_00067,Female,0,12,Month-to-month,No,Electronic check,90.07,1080.84,No
CUST_00068,Male,0,11,Two year,Yes,Credit card (automatic),73.22,805.42,No
CUST_00069,Female,0,72,One year,No,Electronic check,87.82,6323.04,Yes
CUST_00070,Female,1,32,Two year,No,Bank transfer (automatic),36.28,1160.96,No
CUST_00071,Female,0,57,Month-to-month,Yes,Bank transfer (automatic),55.8,3180.6,Yes
CUST_00072,Female,1,38,Two year,Yes,Electronic check,70.17,2666.46,Yes
CUST_00073,Male,0,60,Month-to-month,No,Mailed check,101.97,6118.2,No
CUST_00074,Female,0,19,Two year,No,Bank transfer (automatic),59.19,1124.61,No
CUST_00075,Male,0,56,Two year,No,Credit card (automatic),48.3,2704.8,No
CUST_00076,Female,0,14,Month-to-month,No,Mailed check,89.16,1248.24,No
CUST_00077,Female,1,33,Two year,No,Electronic check,45.28,1494.24,No
CUST_00078,Female,0,10,Two year,Yes,Mailed check,41.92,419.2,No
CUST_00079,Male,0,64,Month-to-month,Yes,Mailed check,79.29,5074.56,No
CUST_00080,Female,0,64,One year,No,Mailed check,50.81,3251.84,No
CUST_00081,Male,0,62,Month-to-month,Yes,Mailed check,79.02,4899.24,No
CUST_00082,Female,1,68,Two year,Yes,Electronic check,77.83,5292.44,No
CUST_00083,Male,0,43,Month-to-month,No,Electronic check,100.39,4316.77,No
CUST_00084,Female,0,59,Month-to-month,No,Bank transfer (automatic),106.5,6283.5,No
CUST_00085,Male,0,52,Month-to-month,Yes,Bank transfer (automatic),98.38,5115.76,No
CUST_00086,Male,0,19,One year,Yes,Credit card (automatic),57.74,1097.06,No
CUST_00087,Female,0,21,Two year,Yes,Credit card (automatic),70.6,1482.6,No
CUST_00088,Male,0,22,Two year,Yes,Bank transfer (automatic),76.15,1675.3,No
CUST_00089,Female,0,9,Month-to-month,No,Bank transfer (automatic),106.82,961.38,Yes
CUST_00090,Female,0,9,Month-to-month,Yes,Mailed check,90.99,818.91,No
CUST_00091,Female,0,27,One year,No,Bank transfer (automatic),50.57,1365.39,Yes
CUST_00092,Female,0,17,One year,No,Credit card (automatic),41.99,713.83,No
CUST_00093,Female,0,44,Month-to-month,No,Bank transfer (automatic),58.83,2588.52,Yes
CUST_00094,Female,0,45,Month-to-month,Yes,Mailed check,107.93,4856.85,No
CUST_00095,Female,0,8,One year,Yes,Credit card (automatic),63.1,504.8,No
CUST_00096,Female,0,18,Month-to-month,Yes,Electronic check,101.3,1823.4,Yes
CUST_00097,Female,0,33,Two year,Yes,Bank transfer (automatic),53.25,1757.25,No
CUST_00098,Female,0,1,One year,No,Electronic check,73.04,73.04,No
CUST_00099,Female,0,6,Two year,Yes,Credit card (automatic),31.21,187.26,No
CUST_00100,Male,0,41,One year,No,Bank transfer (automatic),52.49,2152.09,No
CUST_00101,Male,0,55,Month-to-month,Yes,Electronic check,76.18,4189.9,No
CUST_00102,Female,0,5,Two year,Yes,Bank transfer (automatic),61.53,307.65,Yes
CUST_00103,Female,0,59,One year,No,Electronic check,48.58,2866.22,Yes
CUST_00104,Female,0,18,Month-to-month,Yes,Electronic check,95.87,1725.66,No
CUST_00105,Female,0,49,One year,Yes,Credit card (automatic),58.22,2852.78,No
CUST_00106,Female,0,65,Month-to-month,Yes,Bank transfer (automatic),99.05,6438.25,No
CUST_00107,Female,0,54,Two year,Yes,Electronic check,34.9,1884.6,No
CUST_00108,Female,0,61,Month-to-month,No,Bank transfer (automatic),90.79,5538.19,Yes
CUST_00109,Female,0,8,One year,Yes,Bank transfer (automatic),54.67,437.36,Yes
CUST_00110,Male,0,3,Month-to-month,Yes,Mailed check,97.72,293.16,Yes
CUST_00111,Female,0,25,Month-to-month,Yes,Credit card (automatic),74.13,1853.25,No
CUST_00112,Male,0,69,Two year,No,Bank transfer (automatic),63.27,4365.63,No
CUST_00113,Female,0,55,Two year,Yes,Bank transfer (automatic),76.72,4219.6,No
CUST_00114,Female,0,40,Month-to-month,Yes,Bank transfer (automatic),51.24,2049.6,No
CUST_00115,Male,0,50,Month-to-month,Yes,Credit card (automatic),50.67,2533.5,No
CUST_00116,Female,0,33,Month-to-month,Yes,Credit card (automatic),96.22,3175.26,No
CUST_00117,Male,0,18,One year,Yes,Bank transfer (automatic),72.32,1301.76,No
CUST_00118,Female,0,57,Two year,Yes,Credit card (automatic),44.65,2545.05,No
CUST_00119,Female,0,16,One year,Yes,Mailed check,64.72,1035.52,Yes
CUST_00120,Male,0,38,One year,Yes,Credit card (automatic),42.1,1599.8,No
CUST_00121,Female,0,41,Two year,Yes,Mailed check,39.62,1624.42,Yes
CUST_00122,Male,1,7,Month-to-month,No,Mailed check,75.47,528.29,Yes
CUST_00123,Female,0,53,Month-to-month,No,Mailed check,100.04,5302.12,No
CUST_00124,Male,1,63,One year,Yes,Electronic check,63.98,4030.74,No
CUST_00125,Male,0,32,Two year,Yes,Credit card (automatic),59.32,1898.24,No
CUST_00126,Female,1,38,Two year,No,Bank transfer (automatic),73.69,2800.22,No
CUST_00127,Female,0,22,One year,No,Mailed check,55.44,1219.68,No
CUST_00128,Male,0,16,One year,Yes,Bank transfer (automatic),75.03,1200.48,No
CUST_00129,Female,0,52,Two year,No,Mailed check,73.08,3800.16,No
CUST_00130,Female,0,29,Month-to-month,Yes,Bank transfer (automatic),62.16,1802.64,Yes
CUST_00131,Female,0,16,Month-to-month,Yes,Electronic check,71.39,1142.24,No
CUST_00132,Male,0,17,Two year,No,Mailed check,78.99,1342.83,No
CUST_00133,Male,0,64,Two year,No,Electronic check,79.16,5066.24,No
CUST_00134,Male,0,13,Month-to-month,No,Electronic check,63.39,824.07,Yes
CUST_00135,Male,0,72,Month-to-month,Yes,Credit card (automatic),53.99,3887.28,No
CUST_00136,Male,0,56,Month-to-month,Yes,Bank transfer (automatic),66.26,3710.56,No
CUST_00137,Male,1,5,Month-to-month,No,Mailed check,73.86,369.3,No
CUST_00138,Male,0,12,Two year,Yes,Electronic check,52.05,624.6,No
CUST_00139,Male,1,41,Month-to-month,Yes,Bank transfer (automatic),87.13,3572.33,No
CUST_00140,Male,0,3,Two year,Yes,Credit card (automatic),74.98,224.94,No
CUST_00141,Female,0,33,Month-to-month,Yes,Bank transfer (automatic),69.82,2304.06,Yes
CUST_00142,Male,0,50,One year,Yes,Bank transfer (automatic),82.5,4125.0,No
CUST_00143,Female,0,56,Month-to-month,No,Credit card (automatic),55.61,3114.16,No
CUST_00144,Female,0,9,Two year,No,Credit card (automatic),32.09,288.81,No
CUST_00145,Female,0,50,One year,Yes,Credit card (automatic),65.2,3260.0,No
CUST_00146,Male,0,29,One year,No,Electronic check,42.98,1246.42,Yes
CUST_00147,Male,1,39,Month-to-month,Yes,Bank transfer (automatic),73.55,2868.45,No
CUST_00148,Male,0,45,Month-to-month,No,Credit card (automatic),103.81,4671.45,No
CUST_00149,Male,0,17,Month-to-month,Yes,Bank transfer (automatic),64.49,1096.33,No
CUST_00150,Female,0,56,Month-to-month,No,Bank transfer (automatic),92.36,5172.16,Yes
CUST_00151,Male,0,46,One year,No,Electronic check,55.12,2535.52,No
CUST_00152,Male,0,67,One year,Yes,Bank transfer (automatic),42.25,2830.75,No
CUST_00153,Male,0,69,One year,Yes,Electronic check,67.83,4680.27,No
CUST_00154,Male,0,14,One year,No,Credit card (automatic),81.74,1144.36,No
CUST_00155,Male,0,67,Month-to-month,Yes,Credit card (automatic),74.57,4996.19,No
CUST_00156,Female,0,23,Month-to-month,No,Bank transfer (automatic),87.04,2001.92,No
CUST_00157,Male,0,61,Month-to-month,No,Electronic check,104.0,6344.0,Yes
CUST_00158,Female,1,23,Two year,Yes,Electronic check,69.48,1598.04,No
CUST_00159,Male,0,27,One year,No,Mailed check,49.69,1341.63,No
CUST_00160,Female,0,54,Month-to-month,No,Mailed check,206.78444865512304,5076.0,No
CUST_00161,Male,0,10,Month-to-month,No,Credit card (automatic),80.11,801.1,No
CUST_00162,Male,1,16,Two year,Yes,Credit card (automatic),67.3,1076.8,No
CUST_00163,Female,0,41,One year,Yes,Mailed check,64.73,2653.93,No
CUST_00164,Female,0,55,One year,Yes,Electronic check,46.4,2552.0,No
CUST_00165,Female,0,61,Month-to-month,No,Bank transfer (automatic),84.19,5135.59,No
CUST_00166,Male,0,49,Month-to-month,No,Bank transfer (automatic),79.53,3896.97,No
CUST_00167,Female,0,52,Two year,No,Electronic check,55.9,2906.8,No
CUST_00168,Male,0,2,Two year,Yes,Credit card (automatic),73.95,147.9,No
CUST_00169,Male,0,50,Month-to-month,Yes,Bank transfer (automatic),103.69,5184.5,No
CUST_00170,Female,0,43,Two year,No,Electronic check,52.68,2265.24,Yes
CUST_00171,Female,0,8,Two year,No,Bank transfer (automatic),52.79,422.32,Yes
CUST_00172,Male,0,59,Month-to-month,No,Electronic check,80.91,4773.69,Yes
CUST_00173,Male,0,65,Month-to-month,No,Mailed check,81.18,5276.7,No
CUST_00174,Female,0,12,Month-to-month,No,Mailed check,107.02,1284.24,Yes
CUST_00175,Female,1,4,Month-to-month,No,Bank transfer (automatic),88.96,355.84,Yes
CUST_00176,Female,0,41,One year,No,Bank transfer (automatic),53.87,2208.67,No
CUST_00177,Male,0,7,Month-to-month,Yes,Bank transfer (automatic),81.89,573.23,No
CUST_00178,Male,0,69,Two year,No,Bank transfer (automatic),61.36,4233.84,No
CUST_00179,Male,0,69,Two year,No,Mailed check,61.99,4277.31,No
CUST_00180,Male,0,30,Month-to-month,Yes,Mailed check,85.12,2553.6,No
CUST_00181,Male,0,6,Month-to-month,Yes,Electronic check,60.66,363.96,Yes
CUST_00182,Male,0,19,Two year,Yes,Bank transfer (automatic),31.68,601.92,Yes
CUST_00183,Female,0,66,Two year,Yes,Mailed check,46.89,3094.74,No
CUST_00184,Male,0,10,Two year,Yes,Credit card (automatic),51.38,513.8,No
CUST_00185,Male,0,16,Month-to-month,Yes,Electronic check,53.71,859.36,Yes
CUST_00186,Male,0,37,Month-to-month,Yes,Electronic check,98.9,3659.3,Yes
CUST_00187,Female,0,32,One year,Yes,Electronic check,57.2,1830.4,No
CUST_00188,Male,0,47,Two year,No,Credit card (automatic),75.68,3556.96,No
CUST_00189,Male,0,72,Month-to-month,Yes,Credit card (automatic),59.26,4266.72,No
CUST_00190,Female,0,43,Two year,Yes,Credit card (automatic),32.85,1412.55,No
CUST_00191,Male,0,36,Month-to-month,Yes,Mailed check,78.94,2841.84,No
CUST_00192,Male,0,26,Two year,Yes,Credit card (automatic),39.46,1025.96,No
CUST_00193,Male,0,10,One year,Yes,Electronic check,86.87,868.7,No
CUST_00194,Male,0,31,Month-to-month,No,Bank transfer (automatic),50.62,1569.22,No
CUST_00195,Male,1,29,One year,No,Electronic check,60.63,1758.27,No
CUST_00196,Female,0,5,Month-to-month,Yes,Electronic check,105.6,528.0,No
CUST_00197,Female,0,1,Month-to-month,No,Mailed check,73.07,73.07,No
CUST_00198,Female,0,3,Month-to-month,Yes,Electronic check,55.59,166.77,Yes
CUST_00199,Male,0,67,Month-to-month,No,Mailed check,68.17,4567.39,No
CUST_00200,Male,0,71,Month-to-month,No,Mailed check,79.88,5671.48,No
CUST_00201,Male,0,35,Two year,Yes,Bank transfer (automatic),231.12133718036844,1374.1,No
CUST_00202,Female,1,15,One year,No,Electronic check,63.33,949.95,No
CUST_00203,Male,0,67,Month-to-month,No,Bank transfer (automatic),100.18,6712.06,No
CUST_00204,Male,0,30,Two year,No,Bank transfer (automatic),73.63,2208.9,No
CUST_00205,Female,0,43,One year,No,Electronic check,42.46,1825.78,Yes
CUST_00206,Male,0,60,Two year,No,Electronic check,38.05,2283.0,No
CUST_00207,Female,0,40,One year,Yes,Credit card (automatic),53.76,2150.4,No
